SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,c_frac,cstock
TL47 DoubleTree Pit 1 170-230cm,TL47 DoubleTree Pit 1,170,230,60,200,,3.35,0.161231306,20.74904262,1.07793309,0.229545868,0.429400956,442376.25,7206509.194,0.0335,0
TL47 Midslope Failure 0-20cm,TL47 Midslope Failure,0,20,20,10,0.3,10.77,0.86087487,12.50951661,1.07793309,0.229545868,0.429400956,442432.2698,7206860.7,0.1077,6.462
TL47 Midslope Failure 20-60cm,TL47 Midslope Failure,20,60,40,40,,2.32,0.187206567,12.39187233,0.214193506,0.026771108,0.187279883,442432.2698,7206860.7,0.0232,0
TL47 Midslope Failure 60-80cm,TL47 Midslope Failure,60,80,20,70,,2.17,0.139643687,15.50401195,1.07793309,0.229545868,0.429400956,442432.2698,7206860.7,0.0217,0
TL47 Midslope Failure 80-120cm,TL47 Midslope Failure,80,120,40,100,1.0875,1.27,0.114874842,7.983072715,0.214193506,0.026771108,0.187279883,442432.2698,7206860.7,0.0127,5.5245
TL47 Midslope Failure 120-180cm,TL47 Midslope Failure,120,180,60,150,1.306,0.93,0.078121665,11.91820374,1.07793309,0.229545868,0.429400956,442432.2698,7206860.7,0.0093,7.28748
TL47 GullyPit 1 0-10cm,TL47 GullyPit 1,0,10,10,5,0.9,2.9,0.204618119,14.19687008,0.214193506,0.026771108,0.187279883,442478.1254,7206580.355,0.029,2.61
TL47 GullyPit 1 10-20cm,TL47 GullyPit 1,10,20,10,15,,8.64,0.52676916,16.4057468,1.07793309,0.229545868,0.429400956,442478.1254,7206580.355,0.0864,0
TL47 GullyPit 1 20-70cm,TL47 GullyPit 1,20,70,50,45,1.0875,1.19,0.116985808,10.18986731,0.214193506,0.026771108,0.187279883,442478.1254,7206580.355,0.0119,6.470625
TL47 GullyPit 1 70-100cm,TL47 GullyPit 1,70,100,30,85,1.306,0.62,0.065170341,9.440740989,1.07793309,0.229545868,0.429400956,442478.1254,7206580.355,0.0062,2.42916
TL47 22-01 0-10cm,TL47 22-01,0,10,10,5,0.218,9.14,0.447,20.44,0.79,0.23,0.97,443320.1748,7206177.654,0.0914,1.99252
TL47 22-01 10-30cm,TL47 22-01,10,30,20,20,0.55,3.65,0.22,16.64,0.79,0.23,0.97,443320.1748,7206177.654,0.0365,8.0957
TL47-22-01 0-23,TL47 22-01,30,53,23,41.5,1.179920212,4.12,0.279,14.78,0.47,0.04,0.36,443320.1748,7206177.654,0.0412,11.18092393
TL47-22-01 23-37.5,TL47 22-01,53,67.5,14.5,60.25,1.125249651,3.4,0.25,13.59,0.79,0.23,0.97,443320.1748,7206177.654,0.034,5.547480779
TL47-22-01 56.5-67.5,TL47 22-01,67.5,97.5,30,82.5,0.528119009,5.19,0.295,17.58,0.47,0.04,0.36,443320.1748,7206177.654,0.0519,8.22281297
