SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y
TL27-PF-14-73-86,TL27 PF Core 14,73,86,13,79,0.501996507,18.06,0.76,23.98,1.50,0.10,1.31,454081.3338,7180182.565
TL27-PF-14-86-97,TL27 PF Core 14,86,97,11,91,0.607172982,19.29,0.94,20.51,2.13,0.08,0.58,454081.3338,7180182.565
TL27-PF-15-0-15,TL27 PF Core 15,0,15,15,7,0.183353571,25.70,1.18,21.80,0.53,0.07,0.94,454917.1268,7178742.05
TL27-PF-15-15-30,TL27 PF Core 15,15,30,15,22,,17.69,1.28,13.82,0.28,0.03,0.18,454917.1268,7178742.05
TL27-PF-15-30-50,TL27 PF Core 15,30,50,20,40,0.31857821,7.75,0.53,14.73,1.19,0.08,0.46,454917.1268,7178742.05
TL27-PF-15-50-60,TL27 PF Core 15,50,60,10,55,1.114647056,7.43,0.49,15.24,0.12,0.02,0.28,454917.1268,7178742.05
TL27-PF-16-0-10,TL27 PF Core 16,0,10,10,5,0.184678221,35.60,2.22,16.42,1.01,0.09,0.24,454923.3143,7178738.502
TL27-PF-16-10-25,TL27 PF Core 16,10,25,15,17,,19.39,1.24,15.67,0.41,0.02,0.04,454923.3143,7178738.502
TL27-PF-16-25-45,TL27 PF Core 16,25,45,20,35,0.39982338,9.38,0.59,15.91,0.55,0.02,0.44,454923.3143,7178738.502
TL27-PF-16-45-60,TL27 PF Core 16,45,60,15,52,0.978736951,10.14,0.72,14.06,1.87,0.13,0.05,454923.3143,7178738.502
TL27-NPF-4-0-20,TL27 NonPF Core 4,0,20,20,10,0.238988851,8.27,0.56,14.88,0.14,0.02,0.22,454800.1835,7179054.213
TL27-NPF-4-20-40,TL27 NonPF Core 4,20,40,20,30,0.765647422,0.77,0.10,7.63,0.21,0.02,0.62,454800.1835,7179054.213
TL27-NPF-4-40-60,TL27 NonPF Core 4,40,60,20,50,,0.41,0.07,5.80,0.05,0.00,0.79,454800.1835,7179054.213
TL27-NPF-4-60-80,TL27 NonPF Core 4,60,80,20,70,1.144938735,0.38,0.18,2.13,0.05,0.05,0.34,454800.1835,7179054.213
TL27-NPF-4-80-100,TL27 NonPF Core 4,80,100,20,90,,0.42,0.26,1.62,0.02,0.05,0.24,454800.1835,7179054.213
TL27-NPF-5-0-40,TL27 NonPF Core 5,0,40,40,20,0.239871,4.16,0.30,13.99,0.98,0.04,1.64,454702.87,7179098.696
TL27-NPF-5-40-60,TL27 NonPF Core 5,40,60,20,50,,1.56,0.20,7.95,0.00,0.02,0.71,454702.87,7179098.696
TL27-NPF-5-60-85,TL27 NonPF Core 5,60,85,25,72,,0.52,0.18,2.97,0.14,0.02,0.67,454702.87,7179098.696
TL27-NPF-6-0-35,TL27 NonPF Core 6,0,35,35,17,0.188431394,4.47,0.39,11.53,1.30,0.08,1.02,454795.3518,7178932.015
TL27-NPF-6-35-70,TL27 NonPF Core 6,35,70,35,52,,3.84,0.33,11.61,0.43,0.02,0.98,454795.3518,7178932.015
