SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL47-22-02 0-13.5,TL47-22-02,40,53.5,13.5,46.75,1.51758406,3.27,0.222,14.72,0.79,0.23,0.97,443327.4946,7206662.419,46.75,0.0327,0.00222,6.699374833,0.454819943,10,0.740740741,4.962499876,0.336903661
TL47-22-04-0-30cm,TL47-22-04,0,30,30,15,0.35,32.36,,,0.47,,,442836.9109,7206335.131,15,0.3236,,33.978,,30,1,33.978,
TL47-22-04-30-60cm,TL47-22-04,30,60,30,45,0.73,27.88,1.287,21.67,0.41,0.06,0.26,442836.9109,7206335.131,45,0.2788,0.01287,61.0572,2.81853,20,0.666666667,40.7048,1.87902
TL47-22-05 0-15cm,TL47-22-05,0,15,15,7.5,2.567856835,9.64,0.59,16.35,0.79,0.23,0.97,442931.557,7206297.648,7.5,0.0964,0.0059,37.13120983,2.272553299,15,1,37.13120983,2.272553299
TL47-22-05-15-35cm,TL47-22-05,15,35,20,25,2.567856835,7.01,0.416,16.85,0.79,0.23,0.97,442931.557,7206297.648,25,0.0701,0.00416,36.00135283,2.136456887,20,1,36.00135283,2.136456887
TL47-22-05 0-13.5,TL47-22-05,35,48.5,13.5,41.75,2.567856835,1.95,0.124,15.75,0.47,0.04,0.36,442931.557,7206297.648,41.75,0.0195,0.00124,6.759883118,0.429859234,13.5,1,6.759883118,0.429859234
TL47-22-05 13.5-26,TL47-22-05,48.5,61,12.5,54.75,2.476116336,2.13,0.174,12.26,0.79,0.23,0.97,442931.557,7206297.648,54.75,0.0213,0.00174,6.592659745,0.538555303,1.5,0.12,0.791119169,0.064626636
TL47_Slice1_0-80cm,TL47_Slice1,0,80,80,40,0.52,8.80587045,0.5785,15.22190225,1.648088839,0.078595419,0.788325694,442490.672,7206851.66,40,0.088058705,0.005785,36.63242107,2.40656,50,0.625,22.89526317,1.5041
TL47_Slice2_0-30cm,TL47_Slice2,0,30,30,15,0.5,7.372935072,0.487,15.13949707,0.426661231,0.037628352,0.978073011,442465.5127,7206797.748,15,0.073729351,0.00487,11.05940261,0.7305,30,1,11.05940261,0.7305
TL47_Slice2_30-50cm,TL47_Slice2,30,50,20,40,1.058,0.907509657,0.123,7.378127293,0.107091256,0.015635105,0.108281574,442465.5127,7206797.748,40,0.009075097,0.00123,1.920290434,0.260268,20,1,1.920290434,0.260268
TL47_Slice3_0-30cm,TL47_Slice3,0,30,30,15,0.770173308,8.1567467,0.607,13.43780346,0.877458279,0.067719644,0.05322237,442442.8978,7206738.769,15,0.081567467,0.00607,18.84632577,1.402485594,30,1,18.84632577,1.402485594
TL47_Slice3_30-50cm,TL47_Slice3,30,50,20,40,1.058,1.17627446,0.122,9.641593934,,,,442442.8978,7206738.769,40,0.011762745,0.00122,2.488996757,0.258152,20,1,2.488996757,0.258152
TL47_Slice4_0-30cm,TL47_Slice4,0,30,30,15,0.770173308,7.717577342,0.474,16.28180874,0.34781994,0.032710702,1.427866883,442483.3593,7206731.858,15,0.077175773,0.00474,17.83161621,1.095186444,30,1,17.83161621,1.095186444
TL47_Slice4_30-60cm,TL47_Slice4,30,60,30,45,1.058,2.911664031,0.201,14.4858907,0.541023799,0.013124787,1.801746546,442483.3593,7206731.858,45,0.02911664,0.00201,9.241621634,0.637974,20,0.666666667,6.16108109,0.425316
TL47_Slice5_0-30cm,TL47_Slice5,0,30,30,15,0.770173308,13.86054705,0.795,17.43465038,,,,442507.4654,7206660.05,15,0.138605471,0.00795,32.02507012,1.83686334,30,1,32.02507012,1.83686334
TL47_Slice5_30-60cm,TL47_Slice5,30,60,30,45,1.058,1.682549247,0.041,41.03778651,0.592774547,0.038318701,27.414395,442507.4654,7206660.05,45,0.016825492,0.00041,5.34041131,0.130134,20,0.666666667,3.560274207,0.086756
TL47_Slice7_0-60cm,TL47_Slice7,0,60,60,30,0.770173308,2.969697574,0.131,22.66944713,0.527941036,0.02214407,0.197884563,442671.6503,7206658.006,30,0.029696976,0.00131,13.72309083,0.60535622,50,0.833333333,11.43590902,0.504463517
TL47_Slice8_0-30cm,TL47_Slice8,0,30,30,15,0.97,2.033297288,0.089,22.84603694,0.373619228,0.022937979,1.777900508,442744.5118,7206647.02,15,0.020332973,0.00089,5.916895108,0.25899,30,1,5.916895108,0.25899
TL47_Slice8_30-60cm,TL47_Slice8,30,60,30,45,1.058,1.960464518,0.071,27.61217631,0.11726806,0.005947812,0.705195636,442744.5118,7206647.02,45,0.019604645,0.00071,6.22251438,0.225354,20,0.666666667,4.14834292,0.150236
