SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL47 ALD Trench 1 0-10cm,TL47 ALD Trench 1,0.0,10.0,10.0,5.0,0.42,4.0,0.286346307,13.95632896,0.214193506,0.026771108,0.187279883,442445,7207075.0,5.0,0.04,0.0028634630700000003,1.6799999999999997,0.12026544894000002,10.0,1.0,1.6799999999999997,0.12026544894000002
TL47 ALD Trench 1 10-20cm,TL47 ALD Trench 1,10.0,20.0,10.0,15.0,0.415,2.88,0.225207676,12.79705857,0.309903284,0.010102031,0.133379652,442445,7207075.0,15.0,0.0288,0.00225207676,1.1951999999999998,0.09346118553999999,10.0,1.0,1.1951999999999998,0.09346118553999999
TL47 ALD Trench 1 20-40cm,TL47 ALD Trench 1,20.0,40.0,20.0,30.0,0.41,13.91,0.754875955,18.43207741,0.214193506,0.026771108,0.187279883,442445,7207075.0,30.0,0.1391,0.007548759550000001,11.4062,0.6189982831,20.0,1.0,11.4062,0.6189982831
TL47 ALD Trench 2 0-10cm,TL47 ALD Trench 2 ,0.0,10.0,10.0,5.0,0.24,26.09,0.381732529,16.66734099,0.214193506,0.026771108,0.187279883,442445,7207075.0,5.0,0.2609,0.00381732529,6.2616000000000005,0.09161580695999999,10.0,1.0,6.2616000000000005,0.09161580695999999
TL47 ALD Trench 2 10-20cm,TL47 ALD Trench 2 ,10.0,20.0,10.0,15.0,1.02,6.63,0.304791541,17.9309359,0.214193506,0.026771108,0.187279883,442445,7207075.0,15.0,0.0663,0.00304791541,6.762600000000001,0.31088737182000004,10.0,1.0,6.762600000000001,0.31088737182000004
TL47 ALD Trench 2 20-40cm,TL47 ALD Trench 2 ,20.0,40.0,20.0,30.0,1.25,2.56,0.11608463,11.51136852,0.39449823,0.054284457,0.224980246,442445,7207075.0,30.0,0.0256,0.0011608463,6.4,0.290211575,20.0,1.0,6.4,0.290211575
TL47 ALD Trench 2 40-80cm,TL47 ALD Trench 2 ,40.0,80.0,40.0,60.0,1.275,1.0,0.116505412,8.618717852,0.309903284,0.010102031,0.133379652,442445,7207075.0,60.0,0.01,0.00116505412,5.1,0.5941776012,10.0,0.25,1.275,0.1485444003
TL47 DoubleTree Pit 1 0-20cm,TL47 DoubleTree Pit 1,0.0,20.0,20.0,10.0,0.8,3.23,0.169233223,19.1021157,1.07793309,0.229545868,0.429400956,442376,7206509.0,10.0,0.0323,0.00169233223,5.168,0.27077315679999997,20.0,1.0,5.168,0.27077315679999997
TL47 DoubleTree Pit 1 20-40cm,TL47 DoubleTree Pit 1,2.0,40.0,20.0,21.0,1.05,1.92,0.143506711,13.41080093,0.214193506,0.026771108,0.187279883,442376,7206509.0,21.0,0.0192,0.0014350671100000002,4.031999999999999,0.30136409310000006,38.0,1.9,7.660799999999998,0.5725917768900001
TL47 DoubleTree Pit 1 40-90cm,TL47 DoubleTree Pit 1,40.0,90.0,50.0,65.0,1.3,2.56,0.186078448,13.74292836,0.214193506,0.026771108,0.187279883,442376,7206509.0,65.0,0.0256,0.0018607844800000001,16.64,1.2095099120000001,10.0,0.2,3.3280000000000003,0.24190198240000005
