,SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry,slope,drainagearea,curv,ndvi,pf,Name,Unnamed: 1,Probe length [m],Permafrost depth [m],MAT1 [°C],Fluxes [m3/yr],Mean displacement in top 50cm [mm]
58,E_08,TL47,7206616.256,443055.276,-0.265,0.005520539,POINT (443055.276 7206616.256),10.7005205,174.60143,-0.019774921,0.6871643,0,E_08,,1.2,0.8,-0.569411841,0.004866725,0.004717214
59,E_09,TL47,7206669.769,443053.602,-0.04,0.019057771,POINT (443053.602 7206669.769),15.589,75.07809,0.019475138,0.72760606,0,E_09,,1.2,>1.2,-1.705366115,0.010262737,0.015597262
60,E_10,TL47,7206567.828,442924.429,0.015,0.007152442,POINT (442924.429 7206567.828),8.79024,362.71094,0.014110823,0.7432102,0,E_10,,1.8,>1.8,0.125856875,0.003304333,0.003568031
61,E_12,,,,,,,,,,,,E_12,,1.6,>1.6,0.132970425,0.012619743,0.014365343
62,E_13,TL47,7206631.623,442950.054,-0.164,0.018273972,POINT (442950.054 7206631.623),14.275223,203.86562,0.022960255,0.7393114,0,E_13,,1.6,1,-1.460459923,0.007840388,0.011789045
63,E_15,TL47,7206764.845,442911.431,0.679,0.013225476,POINT (442911.431 7206764.845),12.1378765,158.30988,0.017000563,0.7772824,0,E_15,,1.2,>1.2,0.664948175,0.003155218,0.005145101
64,E_16,TL47,7206817.134,442925.484,1.679,0.030056086,POINT (442925.484 7206817.134),11.920275,325.44055,0.018346213,0.71949077,0,E_16,,1.2,>1.2,-0.685365287,0.007559022,0.01275241
65,E_17,TL47,7206850.755,443045.817,1.093,0.003480293,POINT (443045.817 7206850.755),19.164574,72.85096,0.020015582,0.72263026,0,E_17,,1.2,>1.2,-1.160014408,0.003091632,0.007051743
66,E_18,TL47,7206869.71,443045.582,2.367,0.017755032,POINT (443045.582 7206869.71),18.721355,68.84151,-0.011657053,0.7151072,0,E_18,,1.2,>1.2,-0.102671083,0.008838311,0.011859117
67,F04271,TL27,7179640.063,454435.395,,0.028765845,POINT (454435.395 7179640.063),7.0639086,202.17957,0.00082155,0.7468307,0,,,,,,,
68,F110AA,TL27,7179616.715,454414.277,,0.007020408,POINT (454414.277 7179616.715),12.573806,213.15012,0.002506357,0.7304218,0,,,,,,,
69,F40DE4,TL27,7179617.086,454422.161,,0.009545356,POINT (454422.161 7179617.086),12.5172615,293.6271,-0.001945726,0.7570885,0,,,,,,,
70,F51C1C,TL27,7178952.306,454814.274,,0.0,POINT (454814.274 7178952.306),4.431124,165.79314,0.000728785,0.6539265,1,,,,,,,
71,F61D0C,TL27,7179605.448,454398.089,,0.006809546,POINT (454398.089 7179605.448),11.936855,144.47157,0.00355068,0.74674565,0,,,,,,,
72,F66C3B,TL27,7180090.487,454135.898,,0.0,POINT (454135.898 7180090.487),4.7145424,40.212048,-0.003603927,0.7763974,0,,,,,,,
73,F79DB5,TL27,7179586.102,454439.942,,0.049171464,POINT (454439.942 7179586.102),6.772614,384.7089,-0.001885356,0.81404996,0,,,,,,,
74,F79F97,TL27,7179626.121,454414.545,,0.0,POINT (454414.545 7179626.121),5.074261,293.13617,0.00501421,0.69356817,1,,,,,,,
75,F7A63A,TL27,7178680.584,455056.543,,0.03729764,POINT (455056.543 7178680.584),2.4721224,44.705322,0.000541783,0.68121266,0,,,,,,,
76,F93D02,TL27,7180163.412,454100.784,,0.0,POINT (454100.784 7180163.412),2.858881,20.822924,0.000381374,0.71843773,1,,,,,,,
77,FA2FF8,TL27,7179644.117,454419.824,,0.008832473,POINT (454419.824 7179644.117),6.16346,213.15013,0.001449606,0.66785264,1,,,,,,,
78,FAE6A9,TL27,7180103.93,454129.374,,0.009733119,POINT (454129.374 7180103.93),9.1792555,7.175854,0.000893385,0.78624904,0,,,,,,,
79,FBAC7F,TL27,7179664.296,454391.662,,0.03389221,POINT (454391.662 7179664.296),4.809133,295.08878,-0.000678913,0.6329443,1,,,,,,,
80,FBBC88,TL27,7178921.932,454836.251,,0.0,POINT (454836.251 7178921.932),4.947622,249.96696,0.000518405,0.69739187,1,,,,,,,
81,FD0CD8,TL27,7178935.846,454862.214,,0.0,POINT (454862.214 7178935.846),7.610499,54.49651,0.001373603,0.827285,0,,,,,,,
82,W_01,TL47,7206348.123,442769.107,-0.2109,0.047205959,POINT (442769.107 7206348.123),13.078896,177.56493,-0.009300416,0.6808642,1,W_01,,1.6,0.5,-1.782101651,0.012326113,0.016064279
83,W_02,TL47,7206424.073,442759.33,-0.273,0.00663198,POINT (442759.33 7206424.073),13.24548,107.775185,0.00913629,0.6977544,1,W_02,,1.6,0.8,-2.164802568,0.007585281,0.007448257
84,W_03,TL47,7206436.96,442759.726,-0.211,0.01674187,POINT (442759.726 7206436.96),12.437471,228.62057,-0.001980458,0.696419,1,W_03,,1.6,0.9,-0.687843549,0.005374867,0.006323064
85,W_04,TL47,7206415.761,442313.724,-0.3125,0.057283976,POINT (442313.724 7206415.761),16.40019,109.470985,0.002013767,0.6995836,1,W_04,,1.6,0.7,-2.484279031,0.02211005,0.029829071
86,W_05,TL47,7206441.158,442312.328,-0.367,0.156558704,POINT (442312.328 7206441.158),16.803787,109.00222,0.010227953,0.7098315,1,W_05,,1.6,0.7,-2.380626801,0.038497771,0.083086782
87,W_06,TL47,7206451.884,442312.053,-0.25,0.12336246,POINT (442312.053 7206451.884),16.835838,122.099625,0.009306262,0.72455263,1,W_06,P4,1.6,0.7,-3.111101629,0.058542475,0.118875821
88,W_07,TL47,7206465.443,442311.178,-0.117,0.020921005,POINT (442311.178 7206465.443),17.874926,116.337006,-0.001462355,0.7283983,1,W_07,,1.6,0.9,-1.874147484,0.010677872,0.012865822
89,W_08,TL47,7206502.683,442308.79,-0.078,0.01814561,POINT (442308.79 7206502.683),15.384426,159.20387,0.013797285,0.7360911,1,W_08,,1.6,1.4,-0.94263814,0.011108125,0.011022637
90,W_09,TL47,7206506.984,442335.382,5.3,0.022150757,POINT (442335.382 7206506.984),21.954596,229.79652,-0.008403516,0.7682181,1,W_09,,1.8,>1.8,1.850697989,0.020053835,0.024309722
91,bm1,TL47,7206476.676,443096.851,5.0,0.017820819,POINT (443096.851 7206476.676),5.842564,35.328125,0.039507367,0.74183065,1,,,,,,,
92,bm2,TL47,7206635.571,443032.96,5.0,0.031146385,POINT (443032.96 7206635.571),10.293542,301.17963,-0.018759113,0.7371511,0,,,,,,,
