SampleName,SampleLocationName,Top_cm,Bottom_cm,depthInterval,%C,stdev%C,%N,stdev%N,C/N,stdevC/N,lat,lon,ele,BD_measurement_cm,BulkDensity_gcm3,X,Y,3m,30m_total_curv,3m_slope,15m_plan_curv,Hillshade,15m_slope,15m_gauss_curv,3m_profile_curv,3m_total_curv,30m_gauss_curv,15m_mean_curv,15m,3m_gauss_curv,15m_total_curv,30m_profile_curv,3m_mean_curv,15m_profile_curv,30m_plan_curv,Slope3m,Aspect,30m_slope,30m,3m_plan_curv,Drainage_areaQuinn_15m,30m_mean_curv
KR_Pit4_235cm,KR_Pit4,190,235,10,3.16,1.05,0.162,0.11,19.53,0.3,65.43106601,-164.703612,214.1035,235,0.794047619,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_238-240cm,KR_Pit4,235,240,10,1.12,1.05,0.062,0.11,18.1,0.3,65.43106601,-164.703612,214.1035,240,1.419571429,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit4_250cm,KR_Pit4,240,250,10,1.64,1.05,0.089,0.11,18.36,0.3,65.43106601,-164.703612,214.1035,250,1.233619048,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit5_15cmBD,KR_Pit5,0,15,10,10.23,0.39,0.474,0.05,21.57,0.22,65.43005297,-164.692883,134.026062,15,0.387860762,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_45cmBD,KR_Pit5,15,45,10,5.37,0.39,0.289,0.05,18.57,0.22,65.43005297,-164.692883,134.026062,45,0.793016083,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_80cm,KR_Pit5,45,80,10,6.5,1.05,0.336,0.11,19.33,0.3,65.43005297,-164.692883,134.026062,80,0.390238095,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_110cm,KR_Pit5,80,110,10,11.95,1.05,0.689,0.11,17.33,0.3,65.43005297,-164.692883,134.026062,110,0.31152381,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_120cm,KR_Pit5,110,120,10,4.46,1.05,0.199,0.11,22.41,0.3,65.43005297,-164.692883,134.026062,120,0.831904762,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_140cm,KR_Pit5,120,140,10,5.04,0.39,0.251,0.05,20.07,0.22,65.43005297,-164.692883,134.026062,140,0.801333333,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_170cm,KR_Pit5,140,170,10,5.8,1.05,0.288,0.11,20.18,0.3,65.43005297,-164.692883,134.026062,170,0.800761905,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_190cm,KR_Pit5,170,190,10,4.22,0.39,0.269,0.05,15.72,0.22,65.43005297,-164.692883,134.026062,190,0.608380952,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
KR_Pit5_230cm,KR_Pit5,190,230,10,9.04,0.39,0.449,0.05,20.14,0.22,65.43005297,-164.692883,134.026062,230,0.661666667,514249.319,7256419.248,135.92421,0.0030086,0.133119889,0.039342962,141,0.124885376,2.51E-06,-0.024789399,0.031688361,4.22E-07,0.00323945,136.87476,0.001308573,0.006562184,-0.000796182,0.015964158,-0.002358699,0.025955989,7.5641456,119.868355,0.112045504,137.58337,0.070683842,2202.185,0.001491861
